Solved chasm in 3 guesses       |  Average: 3.54  | 362/2315
Solved cheap in 4 guesses       |  Average: 3.54  | 363/2315
Solved cheat in 3 guesses       |  Average: 3.54  | 364/2315
Solved check in 4 guesses       |  Average: 3.54  | 365/2315
Solved cheek in 4 guesses       |  Average: 3.54  | 366/2315
Solved cheer in 5 guesses       |  Average: 3.55  | 367/2315
Solved chess in 3 guesses       |  Average: 3.55  | 368/2315
Solved chest in 3 guesses       |  Average: 3.54  | 369/2315
Solved chick in 4 guesses       |  Average: 3.55  | 370/2315
Solved chide in 3 guesses       |  Average: 3.54  | 371/2315
Solved chief in 3 guesses       |  Average: 3.54  | 372/2315
Solved child in 3 guesses       |  Average: 3.54  | 373/2315
Solved chili in 4 guesses       |  Average: 3.54  | 374/2315
Solved chill in 4 guesses       |  Average: 3.54  | 375/2315
Solved chime in 3 guesses       |  Average: 3.54  | 376/2315
Solved china in 4 guesses       |  Average: 3.54  | 377/2315
Solved chirp in 3 guesses       |  Average: 3.54  | 378/2315
Solved chock in 3 guesses       |  Average: 3.54  | 379/2315
Solved choir in 4 guesses       |  Average: 3.54  | 380/2315
Solved choke in 4 guesses       |  Average: 3.54  | 381/2315
Solved chord in 3 guesses       |  Average: 3.54  | 382/2315
Solved chore in 4 guesses       |  Average: 3.54  | 383/2315
Solved chose in 4 guesses       |  Average: 3.54  | 384/2315
Solved chuck in 4 guesses       |  Average: 3.55  | 385/2315
Solved chump in 4 guesses       |  Average: 3.55  | 386/2315
Solved chunk in 4 guesses       |  Average: 3.55  | 387/2315
Solved churn in 3 guesses       |  Average: 3.55  | 388/2315
Solved chute in 3 guesses       |  Average: 3.54  | 389/2315
Solved cider in 4 guesses       |  Average: 3.55  | 390/2315
Solved cigar in 4 guesses       |  Average: 3.55  | 391/2315
Solved cinch in 4 guesses       |  Average: 3.55  | 392/2315
Solved circa in 4 guesses       |  Average: 3.55  | 393/2315
Solved civic in 4 guesses       |  Average: 3.55  | 394/2315
Solved civil in 4 guesses       |  Average: 3.55  | 395/2315
Solved clack in 4 guesses       |  Average: 3.55  | 396/2315
Solved claim in 3 guesses       |  Average: 3.55  | 397/2315
Solved clamp in 4 guesses       |  Average: 3.55  | 398/2315
Solved clang in 4 guesses       |  Average: 3.55  | 399/2315
Solved clank in 4 guesses       |  Average: 3.56  | 400/2315
Solved clash in 3 guesses       |  Average: 3.55  | 401/2315
Solved clasp in 3 guesses       |  Average: 3.55  | 402/2315
Solved class in 3 guesses       |  Average: 3.55  | 403/2315
Solved clean in 4 guesses       |  Average: 3.55  | 404/2315
Solved clear in 3 guesses       |  Average: 3.55  | 405/2315
Solved cleat in 4 guesses       |  Average: 3.55  | 406/2315
Solved cleft in 3 guesses       |  Average: 3.55  | 407/2315
Solved clerk in 3 guesses       |  Average: 3.55  | 408/2315
Solved click in 4 guesses       |  Average: 3.55  | 409/2315
Solved cliff in 5 guesses       |  Average: 3.55  | 410/2315
Solved climb in 5 guesses       |  Average: 3.56  | 411/2315
